分类: 📡卫视频道, 名称: 安徽卫视, 有效: 5, IPv4: 23, IPv6: 0, 最小延迟: 4 ms, 最高速率: 11.80 M/s, 平均速率: 6.46 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 重庆卫视, 有效: 4, IPv4: 26, IPv6: 0, 最小延迟: 140 ms, 最高速率: 6.96 M/s, 平均速率: 6.66 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 东南卫视, 有效: 5, IPv4: 22, IPv6: 0, 最小延迟: 124 ms, 最高速率: 6.92 M/s, 平均速率: 6.76 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 甘肃卫视, 有效: 5, IPv4: 20, IPv6: 0, 最小延迟: 139 ms, 最高速率: 6.86 M/s, 平均速率: 6.50 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 广西卫视, 有效: 5, IPv4: 18, IPv6: 0, 最小延迟: 3 ms, 最高速率: 6.80 M/s, 平均速率: 6.47 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 贵州卫视, 有效: 6, IPv4: 24, IPv6: 0, 最小延迟: 140 ms, 最高速率: 10.10 M/s, 平均速率: 6.57 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 海南卫视, 有效: 5, IPv4: 22, IPv6: 0, 最小延迟: 140 ms, 最高速率: 6.98 M/s, 平均速率: 6.84 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 河北卫视, 有效: 6, IPv4: 25, IPv6: 0, 最小延迟: 89 ms, 最高速率: 10.56 M/s, 平均速率: 7.43 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 河南卫视, 有效: 6, IPv4: 28, IPv6: 0, 最小延迟: 26 ms, 最高速率: 8.77 M/s, 平均速率: 6.33 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 吉林卫视, 有效: 6, IPv4: 23, IPv6: 0, 最小延迟: 71 ms, 最高速率: 13.66 M/s, 平均速率: 10.69 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 江西卫视, 有效: 6, IPv4: 30, IPv6: 0, 最小延迟: 74 ms, 最高速率: 13.67 M/s, 平均速率: 11.11 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 辽宁卫视, 有效: 4, IPv4: 28, IPv6: 0, 最小延迟: 87 ms, 最高速率: 11.35 M/s, 平均速率: 8.01 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 内蒙古卫视, 有效: 4, IPv4: 22, IPv6: 0, 最小延迟: 138 ms, 最高速率: 7.09 M/s, 平均速率: 6.92 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 青海卫视, 有效: 6, IPv4: 20, IPv6: 0, 最小延迟: 124 ms, 最高速率: 11.11 M/s, 平均速率: 7.50 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 宁夏卫视, 有效: 3, IPv4: 16, IPv6: 0, 最小延迟: 151 ms, 最高速率: 6.74 M/s, 平均速率: 4.78 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 山东卫视, 有效: 6, IPv4: 26, IPv6: 0, 最小延迟: 66 ms, 最高速率: 13.37 M/s, 平均速率: 10.66 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 山西卫视, 有效: 6, IPv4: 17, IPv6: 0, 最小延迟: 71 ms, 最高速率: 13.78 M/s, 平均速率: 11.06 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 陕西卫视, 有效: 5, IPv4: 18, IPv6: 0, 最小延迟: 4 ms, 最高速率: 13.61 M/s, 平均速率: 11.62 M/s, 最高分辨率: 1920x1080
